aam a dutch and german measure of liquids varying in different cities being at amsterdam about  wine gallons at antwerp   at hamburg
amnion	a thin membrane surrounding the embryos of mammals birds and reptiles
amoeba	a rhizopod common in fresh water capable of undergoing many changes of form at will see rhizopoda
amorousness	the quality of being amorous or inclined to sexual love lovingness
amortization	the act or right of alienating lands to a corporation which was considered formerly as transferring them to dead hands or in mortmain
amovability	liability to be removed or dismissed from office
amperometer	an instrument for measuring the strength of an electrical current in amperes
amphiaster	the achromatic figure formed in mitotic celldivision consisting of two asters connected by a spindleshaped bundle of rodlike fibers diverging from each aster and called the spindle
amphicome	a kind of figured stone rugged and beset with eminences anciently used in divination
amphictyony	a league of states of ancient greece esp the celebrated confederation known as the amphictyonic council its object was to maintain the common interests of greece
amphigen	an element that in combination produces amphid salt  applied by berzelius to oxygen sulphur selenium and tellurium
amphitheatre	an oval or circular building with rising tiers of seats about an open space called the arena
amphiuma	a genus of amphibians inhabiting the southern united states having a serpentlike form but with four minute limbs and two persistent gill openings the congo snake
ampyx	a womans headband sometimes of metal for binding the front hair
amyloid	a nonnitrogenous starchy food a starchlike substance
anabaptistry	the doctrine system or practice of anabaptists
anabasis	a journey or expedition up from the coast like that of the younger cyrus into central asia described by xenophon in his work called the anabasis
anabolism	the constructive metabolism of the body as distinguished from katabolism
anacamptics	the science of reflected light now called catoptrics
anachorism	an error in regard to the place of an event or a thing a referring something to a wrong place
anacoluthon	a want of grammatical sequence or coherence in a sentence an instance of a change of construction in a sentence so that the latter part does not syntactically correspond with the first part
anacrotism	a secondary notch in the pulse curve obtained in a sphygmographic tracing
anaglyptograph	an instrument by which a correct engraving of any embossed object such as a medal or cameo can be executed
anagoge	an elevation of mind to things celestial
analcime	a white or fleshred mineral of the zeolite family occurring in isometric crystals by friction it acquires a weak electricity hence its name
anapest	a metrical foot consisting of three syllables the first two short or unaccented the last long or accented    the reverse of the dactyl in latin dtas and in english intervene are examples of anapests
anaplasty	the art of operation of restoring lost parts or the normal shape by the use of healthy tissue
anas	a genus of water fowls of the order anseres including certain species of freshwater ducks
